"a-profile-name","a-icon-alt","a-size-base","a-size-base 2","a-size-mini","a-size-base 3","a-button-text href","cr-helpful-text","a-size-base 4","a-size-base href 2","a-size-base 5","review-comment-count","a-alert-heading","a-size-base 6"
"Siobhan W.","5.0 颗星，最多 5 颗星","Captivating Historical Fiction","2023年4月2日 在美国审核","已确认购买","In true Edward Rutherford fashion, China is a well researched, interesting, easy to read, epic novel that informs and brings history to life, while drawing the reader into the lives of  well developed characters—both historical and fictional. Rutherford seamlessly weaves fact and fiction together and captivates the reader’s attention with day-to-day accounts of life in China during the 19th century from the perspective of several characters from various social, economic, political and ethnic groups who interact to reveal a pivotal era in Chinese history. Once you get started it is hard to put it down!","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB08FZM45DG%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhKj%252Ffo%252FXOAidi%252BkDvEGeQ8thH28%252BKTnp3bYvE%252Feq8NxCAAAAAGQvw64AAAAB%26reviewId%3DR1RN7MMOUPEW3Z&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hKj%2Ffo%2FXOAidi%2BkDvEGeQ8thH28%2BKTnp3bYvE%2Feq8NxCAAAAAGQvw64AAAAB&reviewId=R1RN7MMOUPEW3Z","显示条评论","0","当前加载评论时遇到问题。请稍后再试。",""
"Larry Don","5.0 颗星，最多 5 颗星","i give it ten stars","2023年3月29日 在美国审核","已确认购买","kudos to the author for giving us an excellent and super entertaining novel ....  the plots and characters are so outstanding that you don't want the story to end .... highly recommend ....","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB08FZM45DG%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhFfk4JVnUZ0XJzmk6iqOlvbscw%252F8KK7nSb2tgPTSQ14OAAAAAGQvw64AAAAB%26reviewId%3DR2REOOIY4RNPAR&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","1 个人发现此评论有用","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hFfk4JVnUZ0XJzmk6iqOlvbscw%2F8KK7nSb2tgPTSQ14OAAAAAGQvw64AAAAB&reviewId=R2REOOIY4RNPAR","报告","0","当前加载评论时遇到问题。请稍后再试。","显示条评论"
"WoodChimp","5.0 颗星，最多 5 颗星","Another great read from Mr. Rutherford","2023年1月19日 在美国审核","已确认购买","I now have read all of this author’s books, and I have enjoyed each one greatly.With this book, he has made a period in China’s history that I knew little about become interesting and fascinating to me. Like all of his other stories, it was full of believable characters that had me wanting to know what was going to happen to them next, such as who’s paths would cross with who’s, where they would turn up, and when, during the span of years this book covers.The place descriptions had me picturing amazingly detailed scenes. The best way to really learn about history, in my opinion, is to read a totally immersive book like this one, the people and places affected are made real. I hope there will be yet another great book by this author!","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB08FZM45DG%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhOAcI9vtbg6yo8nk80igzE5i5AeSXYulc%252BjJncFhABkFAAAAAGQvw64AAAAB%26reviewId%3DROCSRQ27G316Y&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","4 个人发现此评论有用","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hOAcI9vtbg6yo8nk80igzE5i5AeSXYulc%2BjJncFhABkFAAAAAGQvw64AAAAB&reviewId=ROCSRQ27G316Y","报告","0","当前加载评论时遇到问题。请稍后再试。","显示条评论"
"Bobby D.","5.0 颗星，最多 5 颗星","Entertaining trip into 19th Century China's history","2021年9月1日 在美国审核","已确认购买","Edward Rutherfurd is the pen name for Francis Wintie. He follows in the tradition of writers like James Michener writing thick novels that tell fictional family stories covering many centuries of a place’s history. CHINA, Rutherfurd’s newest book is a bit different. Not that it is not long, coming in at 764 pages; but because the story covers only 70 years of Chin’s history from the early 1800 and the Opium Wars to the death of Empress Dowager CIXI in 19o8.The thrust of the plot lines is how Britain and other western powers tried to colonize China resulting in several wars and Chinese anti-western actions (leading up and through the Boxer Rebellion).I am not going to go into detail about the various characters or storylines as I am happy to report they are all entertaining. I would think more so for those not knowledgeable about CHINA and its rocky history in the 1800s.I read someplace that Rutherfurd is at work on a sequel which should be equally fascinating. This book is a great way to dip one’s toes into Chinese history while enjoying several colorful characters and cliffhanger short stories. I enjoyed this book and especially like that it is one you can pick up and read without the demands of finishing it in one large gulp. I found the novel immensely entertaining.The book's early section reminded me a lot of Amitau Ghosh’s IBIS TRILOGY, especially the third book RIVER OF SMOKE about the Opium trade and wars. (I recommend Ghosh’s books highly.) And then there is the wonderful biography, EMPRESS DOWAGER CIXI by Jung Chang. Rutherfurd mentions his differences with her biography in his Afterword. Like any nonfiction work, Chang’s book is dense and offers far greater historical insight than Rutherfurd’s novel. Lastly, one of my favorite Non-fiction authors (who also writes historical novels under the pen name Alex Rutherford is Diana Preston. She and her husband wrote the exciting Empire of the Moghul series. One of Preston’s early nonfiction books is THE BOXER REBELLION. I only mention these books because they may be of interest if you wish to take a deeper dive into this period of history.(I have only read one other Rutherfurd novel, LONDON, which I also enjoyed a great deal.)","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB08FZM45DG%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhMpp0XiOsEEc1mWyE2rJqW2KcAM2479NDh%252BRDJZnI4%252FLAAAAAGQvw64AAAAB%26reviewId%3DR17ESMT9Q0TSJA&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","7 个人发现此评论有用","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hMpp0XiOsEEc1mWyE2rJqW2KcAM2479NDh%2BRDJZnI4%2FLAAAAAGQvw64AAAAB&reviewId=R17ESMT9Q0TSJA","报告","0","当前加载评论时遇到问题。请稍后再试。","显示条评论"
"Timothy Haugh","4.0 颗星，最多 5 颗星","In Some Ways, Not a Typical Rutherfurd Novel","2021年10月11日 在美国审核","已确认购买","I generally love Edward Rutherfurd novels when I’m in the mood for them (which is not all the time).  His works of historical fiction are so Rutherfurdian that it’s generally pretty easy to recognize one.  He picks a place (Ireland, New York, Paris, etc.) and takes us back to the very beginning.  He creates a few families and traces them through many generations at key points in the place’s history, ultimately bringing them to the modern day.  It’s all very obviously constructed, and built in books that are very long.  Sometimes that’s just what one wants.That’s why this book is a bit of a surprise.  I couldn’t imagine how Rutherfurd could cover the history of China.  It’s quite outside of his anglo-centric comfort zone.  Turns out, he didn’t cover the history of China.  He starts less than 200 years ago with the events leading up to the Opium Wars and takes us only into the first years of the twentieth century.  Of course, though he does trace a few Chinese characters (the eunuch Lacquer Nail being the best), this allows him to keep his focus on the English traders’ and missionaries’ view of the country.  It’s a bit of a copout.Still, it is a big book and most of those Rutherfurdian qualities are there.  He does a deep dive, and it is interesting to get a view of China’s encounter with the West, forcing conflict between the traditional values of the country and the need to modernize in the face of threat.  For anyone who thinks of China as Mao and communism, it would open eyes.  Still, it’s not quite what I hope for from a Rutherfurd novel.","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB08FZM45DG%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhKjLnbEQ%252B%252B9OxhTwm7j%252BfKtUH1qhAphfrg9hXQlrw64OAAAAAGQvw64AAAAB%26reviewId%3DR3OLW8MA8GTSLG&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","7 个人发现此评论有用","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hKjLnbEQ%2B%2B9OxhTwm7j%2BfKtUH1qhAphfrg9hXQlrw64OAAAAAGQvw64AAAAB&reviewId=R3OLW8MA8GTSLG","报告","0","当前加载评论时遇到问题。请稍后再试。","显示条评论"
"Dancing Lady","5.0 颗星，最多 5 颗星","Another excellent historical novel by Edward Rutherford.","2023年1月6日 在美国审核","已确认购买","Beginning in the 1800's he gives an accounting of the great land of China during the time of the British empire and the European colonies. He brings to life the opien wars.  the missionary life and the Boxer Revolution. The stories and characters are wonderfully written and detailed.I enjoyed this novel as I have enjoyed all of his past novels.","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB08FZM45DG%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhO60h9Pv93h3zvafN41%252FhsGLljK%252BM6HiKVwTz0MVX5Y5AAAAAGQvw64AAAAB%26reviewId%3DRYO1ON298DTNV&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","3 个人发现此评论有用","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hO60h9Pv93h3zvafN41%2FhsGLljK%2BM6HiKVwTz0MVX5Y5AAAAAGQvw64AAAAB&reviewId=RYO1ON298DTNV","报告","0","当前加载评论时遇到问题。请稍后再试。","显示条评论"
"Chuck Brider","5.0 颗星，最多 5 颗星","China","2023年1月19日 在美国审核","已确认购买","As with his previous novels London, Paris and New York, China is rich In history. His research is so complete it is difficult not to believe that it is history. His narrative just flows.","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB08FZM45DG%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhIYZV9IL%252Fj6cDJpds%252FVTFc54lSs85oeMRwFR1NDooAcxAAAAAGQvw64AAAAB%26reviewId%3DR6ROL063TAZ3Z&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","2 个人发现此评论有用","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hIYZV9IL%2Fj6cDJpds%2FVTFc54lSs85oeMRwFR1NDooAcxAAAAAGQvw64AAAAB&reviewId=R6ROL063TAZ3Z","报告","0","当前加载评论时遇到问题。请稍后再试。","显示条评论"
"Good book. The strength was the vividness of the war scene. It was a strong book without a heavy courtroom presence, which I liked.","4.0 颗星，最多 5 颗星","strong story","2022年9月17日 在美国审核","已确认购买","Rutherford does a good job at research on his books.  I do think he tends to get a bit lost in his books 70% in.  The story get a bit old, and the connection between the 1st  400 page and the last 50 pages tends to get a bit dry.  Overall though i do enjoy the depths and sagas be presents.","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB08FZM45DG%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhPa8QrjSqddYiBb8Kpu8vOLhkBCEv5uDdHdtYEoU31sKAAAAAGQvw64AAAAB%26reviewId%3DR193LGXGYYG8B3&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","3 个人发现此评论有用","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hPa8QrjSqddYiBb8Kpu8vOLhkBCEv5uDdHdtYEoU31sKAAAAAGQvw64AAAAB&reviewId=R193LGXGYYG8B3","报告","0","当前加载评论时遇到问题。请稍后再试。","显示条评论"
"Guineadarlin","4.0 颗星，最多 5 颗星","A different style for Rutherfurd","2022年10月10日 在美国审核","已确认购买","Having read all the author's other books already, I had expected a multi-generational saga. This story's more compact time frame was a bit disappointing. Still a good read.","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB08FZM45DG%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhKP%252FON%252B7fTZcBUleL0iVp72uci42sdfWZYCAIE1oX06pAAAAAGQvw64AAAAB%26reviewId%3DR2CKPDNO4ZCK4W&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","2 个人发现此评论有用","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hKP%2FON%2B7fTZcBUleL0iVp72uci42sdfWZYCAIE1oX06pAAAAAGQvw64AAAAB&reviewId=R2CKPDNO4ZCK4W","报告","0","当前加载评论时遇到问题。请稍后再试。","显示条评论"
"Shar","5.0 颗星，最多 5 颗星","Another Great Rutherford Read!","2022年8月30日 在美国审核","已确认购买","Having lived in Hong Kong, and visited Macau on several occasions, (not to mention tours of both The Forbidden City and mountainous Guilin), I found this book to be of great personal interest. His accounts of these areas are quite detailed, and interestingly, to this day still relevant. I especially enjoyed the very accurate description of the Old Protestant Cemetery in Macau, (which I have visited numerous times), and can confirm it as described...still, more than a century later than the time of this story.I've read a number of Rutherford's book, (London, New York, The Forest, etc), and highly recommend any of these and of course, China. You'll not only be swept away in the well researched history, you're sure to enjoy the many excellent character portrayals as well!","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB08FZM45DG%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhPcgHJ%252BWPp4%252BUSy0D6uZFFKpVLASjBxbC1UJqxsglixWAAAAAGQvw64AAAAB%26reviewId%3DR1H6FZMEHGMTPL&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","4 个人发现此评论有用","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hPcgHJ%2BWPp4%2BUSy0D6uZFFKpVLASjBxbC1UJqxsglixWAAAAAGQvw64AAAAB&reviewId=R1H6FZMEHGMTPL","报告","0","当前加载评论时遇到问题。请稍后再试。","显示条评论"
"Mitch BK","4.0 颗星，最多 5 颗星","A good read but not his best","2021年6月2日 在美国审核","已确认购买","I have read all of his books over many years.  I enjoy the way he introduces characters over many generations, often spanning centuries or longer through the introduction of different families and their descendants over the lengthy time period covered in the novel who are affected by historical events.  His historical research has always been very accurate and he is careful to point out where he is speaking from a historical source and where he has created fiction.This story was a good read but unfortunately he covered a relatively short period of Chinese history and really had many of the characters play pivotal roles throughout the entire time period, which made them a bit less believable as fictional characters.  (It was almost like some of them could have played Zelig in the Woody Allen movie).  I think this variance from the usual style over centuries, or even millennia, took away a bit from the writing appeal.  It also meant that some of the value I like to derive from historical novels of this sort, getting a very long term picture of the development of something I know little about, was lost.All that being said, it is certainly better than most of the garbage put out today.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB08FZM45DG%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhFutDz4wQUbmzT3DUIoHbwxYtn0SacqSkhl2vWuxPsQ0AAAAAGQvw%252FUAAAAB%26reviewId%3DR13GSKDVNMGP13&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","25 个人发现此评论有用","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hFutDz4wQUbmzT3DUIoHbwxYtn0SacqSkhl2vWuxPsQ0AAAAAGQvw%2FUAAAAB&reviewId=R13GSKDVNMGP13","报告","0","当前加载评论时遇到问题。请稍后再试。","显示条评论"
"LisaCfromNY","5.0 颗星，最多 5 颗星","China: The Novel is a Firework","2021年5月28日 在美国审核","已确认购买","China: The Novel is another epic wonder from one of my favorite authors. The novel opens in the first half of the Nineteenth Century, at the beginning of the First Opium War. Rutherfurd introduces his masterful characters consisting of a diverse blend of Chinese families and British and American fortune-hunters and missionaries.I found an interesting perspective of the many cultural differences between China and the Western countries. As I was reading, the shocking acts of bullying and murder lulled me into adopting the Western idea that our societal differences were vast. In thinking about it further, I saw similarities to the West in the casual abuse and outright oppression of the poor and working class. Additionally, I considered the continuing conquest of India and other countries by the British and the full force of the institution of slavery in America. The backyards of the West were abysmally untidy.The military engagements and the fight over international trade in China were not new topics to me, but I think I might be somewhat of an exception in this case. That said, Rutherfurd memorably depicts the conflicts with the well-developed characters populating the story. Armed with knowing some facts about this piece of history, I came away with a richer understanding of the events and now think about them from different viewpoints.Rutherfurd's rich prose paints a captivating portrait of family, romance, and adventure. ""China: The Novel"" is a firework, and I highly recommend it!","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB08FZM45DG%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhJPlAqT16kQv%252B1XcYy0xKDTn1p%252BV4sfLnvAFUwuWpI5zAAAAAGQvw%252FUAAAAB%26reviewId%3DR14DN4CBSS9J3I&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","20 个人发现此评论有用","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hJPlAqT16kQv%2B1XcYy0xKDTn1p%2BV4sfLnvAFUwuWpI5zAAAAAGQvw%2FUAAAAB&reviewId=R14DN4CBSS9J3I","报告","0","当前加载评论时遇到问题。请稍后再试。","显示条评论"
"JW","3.0 颗星，最多 5 颗星","Repetitious - Long -","2022年10月16日 在美国审核","已确认购买","China by Edward Rutherford was a good book but it got boring at times.  I did expect to learn more about China and its many traditions/customs. I did learn some.  The opium trade was a big part of the book and the war between the British.  I did get some info about t heir many traditions - but it didn't go far enough.  I read one book of Mr Rutherford and that was Paris - that was a fantastic read - I read it a whole lot faster and found it more interesting.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB08FZM45DG%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhGu%252FaGsPIdGZR%252FNT0zLpYvW0eUlHkasBRM15dY%252FaGYHzAAAAAGQvw%252FUAAAAB%26reviewId%3DR1MSOUZDHK1RGD&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","1 个人发现此评论有用","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hGu%2FaGsPIdGZR%2FNT0zLpYvW0eUlHkasBRM15dY%2FaGYHzAAAAAGQvw%2FUAAAAB&reviewId=R1MSOUZDHK1RGD","报告","0","当前加载评论时遇到问题。请稍后再试。","显示条评论"
"Jean","4.0 颗星，最多 5 颗星","Good read","2022年5月24日 在美国审核","已确认购买","Got the book as a gift.  Loved most of Rutherfurd's other books but was never interested in China history.  It took me 2 weeks to get thru 1/4 of the book but it was getting better.  It's a huge, heavy book so I bought the Kindle version and I'm getting thru it much faster.  The 2nd half is better!","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB08FZM45DG%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhJe0UiubyMUhgxgdrUtSFpN3VSDF9lRoemydOqS2lIJIAAAAAGQvw%252FUAAAAB%26reviewId%3DRAQQFCEF2E2KD&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hJe0UiubyMUhgxgdrUtSFpN3VSDF9lRoemydOqS2lIJIAAAAAGQvw%2FUAAAAB&reviewId=RAQQFCEF2E2KD","显示条评论","0","当前加载评论时遇到问题。请稍后再试。",""
"DadOf2Boys","4.0 颗星，最多 5 颗星","Very interesting book but doesn't span entire Chinese history","2022年3月4日 在美国审核","已确认购买","I read many of Edward Rutherford's books and enjoyed the history and the engaging characters.  This book is no different.  The stories are entertaining and the history of China in the 19th. century is described in detail.What is different from the author's other books is that this book covers only 70 years of  more than 5000 years of Chinese history.  It doesn't really follow multiple generations of family which is the hallmark of Rutherford's books.That's the reason for the 4 star review.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB08FZM45DG%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhAxuVlU52jduvqqyD4fqCLpt8v8uN4k4jne6zTJ4T0YsAAAAAGQvw%252FUAAAAB%26reviewId%3DRBMLQRPHMOKU9&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","1 个人发现此评论有用","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hAxuVlU52jduvqqyD4fqCLpt8v8uN4k4jne6zTJ4T0YsAAAAAGQvw%2FUAAAAB&reviewId=RBMLQRPHMOKU9","报告","0","当前加载评论时遇到问题。请稍后再试。","显示条评论"
